id,Floor,Location,CiscoExt,Updateby,ComputerName,SerialNumber,PCModel,CPU,RAM,IPAddress,MACAddress,WindowsEdition,DisplayVersion,OSVersion,CitrixName,CitrixVersion,RecordedDateTime
1,6,NOC,TEST,BHEN,LTOP1787,5CG7415L2R,HP EliteBook 840 G4,Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,16 GB,10.16.67.27,48BA.4EF5.84FA,Microsoft Windows 10 Pro,22H2,10.0.19045,Citrix N/A,Citrix N/A,2024-03-09 07:57:07
2,NOC,P-453,12345,BHEN,T-MOB1001426,3XH14N3,OptiPlex 3090,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,8 GB,10.16.83.118,A4BB.6D97.6F5A,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-09 08:19:03
3,6,TEST2,NONE,BHEN,T-MOB1001426,3XH14N3,OptiPlex 3090,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,8 GB,10.16.83.118,A4BB.6D97.6F5A,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-09 08:22:06
4,P2,N/A,N/A,BHEN,T-MOB1001076,8CC0250FDM,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.83.96,BCE9.2F84.AE96,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 11:15:55
5,P2,N/A,N/A,COCO,T-MOB1001017,8CC0250FFQ,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.83.97,BCE9.2F84.AE29,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:08:09
6,P2,N/A,N/A,COCO,T-MOB1001093,8CC0250F95,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.81.183,BCE9.2F84.AD42,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:13:02
7,P2,N/A,N/A,BHEN,T-MOB1001110,8CC0250FFK,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.83.98,BCE9.2F84.AE23,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:16:49
8,P2,N/A,N/A,407006,T-MOB1001133,8CC9220JGL,HP EliteDesk 800 G4 DM 65W,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,8 GB,10.16.83.99,80E8.2C11.A5C5,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:24:14
9,P2,N/A,N/A,COCO,T-MOB1000506,1S4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.81.187,C025.A591.47B5,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:30:25
10,P2,N/A,N/A,COCO,T-MOB1001066,8CC1112GNG,HP EliteDesk 800 G6 Desktop Mini PC,Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,16 GB,10.16.81.188,6C02.E09B.52CB,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2303,23.3.0.55,2024-03-09 12:40:18
11,P2,N/A,N/A,COCO,T-MOB1001131,8CC1112GR5,HP EliteDesk 800 G6 Desktop Mini PC,Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,16 GB,10.16.83.103,6C02.E09B.45F7,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-09 12:43:23
